Year,Plot,NumSp,C3,C4,Forb,Legume,Woody,AbvBio
1997,44,4,0,1,1,1,0,96.4165
1997,45,4,0,1,1,1,1,39.2
1997,46,16,1,1,1,1,1,55.5165
1997,48,2,1,0,0,1,0,198.525
1997,50,8,1,0,1,1,1,259.60825
1997,53,4,1,1,0,1,1,299.83325
1997,56,2,0,1,0,1,0,150.375
1997,57,8,1,1,1,1,0,196.06675
1997,58,4,1,1,1,0,0,138.2915
1997,62,4,1,0,0,1,1,219
1997,67,8,1,1,1,1,1,389.70825
1997,68,16,1,1,1,1,1,324.71675
1997,69,1,0,0,1,0,0,104.65833333
1997,70,4,0,1,1,1,0,332.1165
1997,73,2,0,0,1,0,1,269.50825
1997,74,8,1,1,1,1,1,107.6085
1997,75,2,0,1,1,0,0,148.84175
1997,81,8,1,1,1,1,0,186.78325
1997,82,16,1,1,1,1,1,183.75
1997,83,1,0,0,0,1,0,454.76666667
1997,87,1,0,1,0,0,0,129.63325
1997,89,16,1,1,1,1,1,185.95825
1997,92,1,0,1,0,0,0,215.00025
1997,93,4,1,0,0,1,0,356.975
1997,94,1,0,0,0,1,0,331.41675
1997,98,8,1,1,1,1,1,275.94975
1997,104,8,1,1,1,1,1,291.617
1997,107,16,1,1,1,1,1,69.82475
1997,108,16,1,1,1,1,1,159.02525
1997,109,1,0,1,0,0,0,166.33333333
1997,110,4,1,1,0,1,0,258.85825
1997,111,8,1,0,1,1,1,127.1585
1997,115,8,1,1,1,0,1,115.9335
1997,117,2,0,0,1,1,0,138.325
1997,118,8,1,1,1,1,1,184.0415
1997,125,2,0,1,0,1,0,136.33325
1997,127,2,0,0,0,1,1,405.96675
1997,129,1,0,0,1,0,0,151.15
1997,130,8,1,1,1,1,1,302.683
1997,133,4,0,1,1,1,0,260.3915
1997,135,1,0,1,0,0,0,139.1335
1997,136,16,1,1,1,1,1,330.90825
1997,137,1,0,0,0,1,0,176.825
1997,138,4,1,0,1,0,0,237.175
1997,139,4,1,0,0,1,0,333.99975
1997,142,1,1,0,0,0,0,161.85
1997,146,8,1,1,1,1,1,270.15
1997,149,4,0,1,1,1,1,283.87525
1997,151,1,0,0,0,0,1,11.95825
1997,153,1,1,0,0,0,0,65.24175
1997,156,16,1,1,1,1,1,103.16675
1997,157,2,1,0,0,0,0,35.7585
1997,160,16,1,1,1,1,1,161.9335
1997,161,1,0,0,0,0,1,13.5165
1997,163,1,0,1,0,0,0,119.95825
1997,164,16,1,1,1,1,1,233.68325
1997,165,2,1,1,0,0,0,175.3
1997,167,1,0,0,1,0,0,76.6085
1997,168,2,1,1,0,0,0,86.4
1997,169,16,1,1,1,1,1,227.59175
1997,170,8,1,0,1,1,1,139.5665
1997,171,2,1,0,0,1,0,323.175
1997,174,16,1,1,1,1,1,349.85
1997,175,2,0,1,0,1,0,408.32525
1997,176,4,1,1,1,0,0,207.375
1997,177,8,1,1,1,1,1,188.03325
1997,178,8,1,1,1,0,0,547.1415
1997,185,1,0,0,0,1,0,83.41675
1997,186,16,1,1,1,1,1,245.1165
1997,189,2,0,1,0,0,1,156.97525
1997,190,4,0,0,1,1,1,134.69175
1997,193,2,0,1,0,1,0,445.69175
1997,197,2,0,1,1,0,0,83.825
1997,199,4,0,1,0,1,1,346.47475
1997,201,4,0,1,0,1,1,441.1165
1997,202,16,1,1,1,1,0,490.3415
1997,205,1,0,0,0,1,0,167.50025
1997,206,8,1,1,1,1,0,303.3
1997,208,8,1,1,1,1,0,617.86675
1997,210,8,1,1,1,1,0,244.95
1997,211,2,0,0,1,1,0,93.95
1997,213,8,1,1,1,1,1,159.925
1997,220,16,1,1,1,1,1,151.35825
1997,221,2,0,0,0,0,1,6.6415
1997,223,4,1,0,1,0,1,95.725
1997,224,2,0,1,1,0,0,110.775
1997,225,4,1,1,0,1,1,160.5915
1997,227,16,1,1,1,1,1,137.84175
1997,229,4,1,1,0,1,0,82.51675
1997,230,1,0,1,0,0,0,183.18333333
1997,232,8,1,1,1,1,1,346.00825
1997,233,4,1,0,1,1,1,67.075
1997,234,2,1,0,0,1,0,303.275
1997,235,16,1,1,1,1,1,171.1415
1997,236,2,0,1,0,1,0,226.45025
1997,237,1,1,0,0,0,0,33.45825
1997,239,16,1,1,1,1,1,268.2915
1997,242,16,1,1,1,1,1,184.71675
1997,253,16,1,1,1,1,1,88.58325
1997,255,1,0,0,0,0,1,21.30825
1997,256,1,1,0,0,0,0,55.84175
1997,257,16,1,1,1,1,1,222.35825
1997,259,2,0,1,0,1,0,297.55825
1997,265,1,0,0,0,1,0,219.66675
1997,266,8,1,1,1,1,1,204.45
1997,267,1,0,0,1,0,0,128.44175
1997,268,1,1,0,0,0,0,108.875
1997,272,2,0,0,0,1,1,58.9
1997,273,16,1,1,1,1,1,371.7665
1997,278,2,1,1,0,0,0,169.68325
1997,280,1,0,1,0,0,0,72.25
1997,282,1,0,1,0,0,0,133.7085
1997,283,8,1,1,1,0,0,164.83325
1997,286,4,1,1,0,1,0,245.725
1997,287,4,1,1,1,0,0,118.775
1997,290,1,0,0,1,0,0,43.2835
1997,291,1,0,0,0,1,0,131.89175
1997,292,8,1,1,0,1,0,354.2915
1997,293,8,0,1,1,1,1,230.425
1997,296,1,0,0,0,0,1,39.325
1997,299,16,1,1,1,1,1,200.96675
1997,300,2,0,1,0,1,0,370.59975
1997,301,16,1,1,1,1,1,147.7085
1997,302,4,0,0,1,1,1,299.8
1997,303,8,1,0,1,1,0,313.2665
1997,304,2,1,0,0,0,0,129.24175
1997,307,8,0,1,1,1,1,169.75825
1997,308,1,0,0,1,0,0,23.3
1997,311,2,1,1,0,0,0,246.94175
1997,313,8,1,0,1,1,1,112.55825
1997,318,16,1,1,1,1,1,244.19175
1997,322,2,0,1,0,0,1,122.59175
1997,324,2,1,0,0,0,0,78.3585
1997,325,4,1,1,1,1,0,210.52475
1997,328,16,1,1,1,1,1,451.4835
1997,329,16,1,1,1,1,1,190.1335
1997,330,2,0,1,1,0,0,136.88325
1997,331,16,1,1,1,1,1,160.40025
1997,333,1,1,0,0,0,0,86.9835
1997,334,2,1,1,0,0,0,110.675
1997,335,2,1,0,0,1,0,117.6665
1997,336,16,1,1,1,1,1,212.23325
1997,338,1,0,0,1,0,0,232.6
1997,339,16,1,1,1,1,1,279.35
1997,342,2,0,0,1,1,0,275.042
